카테고리,회사명,제품,가격,사용시간,흡입력
핸디/스틱청소기,일렉트로룩스,에르고라피도 ZB3311,144860,48.0,
핸디/스틱청소기,다이슨,V11 컴플리트 엑스트라,887720,60.0,220.0
핸디/스틱청소기,삼성전자,제트 VS20T9213QDCS,654840,60.0,200.0
핸디/스틱청소기,삼성전자,제트 VS20T9257SD,666600,120.0,200.0
핸디/스틱청소기,보쉬,GAS18V-1,62150,42.0,
핸디/스틱청소기,다이슨,V11 토탈클린,1399990,60.0,185.0
핸디/스틱청소기,삼성전자,제트 VS15R8544S4CW,538990,40.0,150.0
핸디/스틱청소기,삼성전자,제트 VS15R8547S1CW,558840,40.0,150.0
핸디/스틱청소기,삼성전자,제트 VS20T9257SECS,764140,120.0,200.0
핸디/스틱청소기,다이슨,V11 플러피+,825950,60.0,220.0
핸디/스틱청소기,DIBEA,ALLNEW22000,173000,30.0,220.0
핸디/스틱청소기,다이슨,옴니 글라이드,581160,20.0,50.0
핸디/스틱청소기,샤오미,드리미 V10 프로,186850,60.0,220.0
핸디/스틱청소기,삼성전자,제트 VS20T9257SDCS,750790,120.0,200.0
핸디/스틱청소기,샤오미,디어마 VC20 PLUS,60210,22.0,
핸디/스틱청소기,샤오미,디어마 VC01,48000,30.0,
핸디/스틱청소기,샤오미,TROUVER POWER 11,133720,60.0,
핸디/스틱청소기,삼성전자,VC-PS86,69880,15.0,
핸디/스틱청소기,미켈란젤로,슈퍼파워 프리플러스 V2 ARO-1300BL,195990,40.0,
핸디/스틱청소기,블랙앤데커,PV1820BK,90040,12.0,35.0
핸디/스틱청소기,유니맥스,UVC-1688,17230,,
핸디/스틱청소기,다이슨,V7 플러피,398000,30.0,100.0
핸디/스틱청소기,일렉트로룩스,WELL Q6 WQ61-1EDB,207590,45.0,
핸디/스틱청소기,홈마블,H80,44820,30.0,60.0
핸디/스틱청소기,블랙앤데커,TPD1810BGEXT,89890,13.0,
핸디/스틱청소기,삼성전자,제트 VS20R9043QA,558220,60.0,200.0
핸디/스틱청소기,일렉트로룩스,PURE F9 PF91-5EBF,255540,55.0,
핸디/스틱청소기,신일전자,SVC-2326W,35880,9.0,
핸디/스틱청소기,DIBEA,PLA25,199000,50.0,250.0
핸디/스틱청소기,일렉트로룩스,PURE F9 PF91-5OGF,297660,55.0,
핸디/스틱청소기,일렉트로룩스,에르고라피도 클래식 ZB3501EB,134140,30.0,
핸디/스틱청소기,샤오미,드리미 T20,358950,70.0,250.0
핸디/스틱청소기,일렉트로룩스,WELL Q6 WQ61-1EDBF,230000,45.0,
핸디/스틱청소기,아이닉,i20,238000,50.0,
핸디/스틱청소기,다이슨,V10 플러피 프로,551080,60.0,
핸디/스틱청소기,일렉트로룩스,ZB6106,47970,14.0,
핸디/스틱청소기,샤오미,로이드미 Z1 Air,227810,60.0,220.0
핸디/스틱청소기,마끼다,DCL180Z,36480,20.0,
핸디/스틱청소기,블랙앤데커,DVC320B24,126490,25.0,35.0
핸디/스틱청소기,아이코넬,VC-K300W,79000,40.0,220.0
핸디/스틱청소기,툴앤툴,네오스틱 T400W,159000,40.0,
핸디/스틱청소기,톰슨,ESR-BH610,83290,25.0,150.0
핸디/스틱청소기,일럭스고,SVC-1019L,68990,20.0,45.0
핸디/스틱청소기,오토모,ATM-H100,52200,,
핸디/스틱청소기,일렉트로룩스,에르고라피도 ZB3311AK,192250,48.0,
핸디/스틱청소기,DIBEA,X20,239000,50.0,200.0
핸디/스틱청소기,LG전자,코드제로 A9 A9200I,611130,40.0,
핸디/스틱청소기,다이슨,V10 플러피 오리진,575220,60.0,151.0
핸디/스틱청소기,일렉트로룩스,PURE Q9 PQ92-3EMF,374060,53.0,
핸디/스틱청소기,LG전자,코드제로 A9 A9309P,716550,40.0,140.0
핸디/스틱청소기,삼성전자,제트 VS15R8544S4,462000,40.0,150.0
핸디/스틱청소기,삼성전자,제트 VS20T9279S6CS,830890,120.0,200.0
